,years,state,labor.pop
778,2014,Minnesota,2979798
779,2015,Minnesota,3005414
780,2016,Minnesota,3023110
781,2017,Minnesota,3050765
782,2018,Minnesota,3059403
783,1985,Mississippi,1122529
784,1986,Mississippi,1150627
785,1987,Mississippi,1151209
786,1988,Mississippi,1144961
787,1989,Mississippi,1163521
788,1990,Mississippi,1178449
789,1991,Mississippi,1183892
790,1992,Mississippi,1192623
791,1993,Mississippi,1212765
792,1994,Mississippi,1243756
793,1995,Mississippi,1254599
794,1996,Mississippi,1263385
795,1997,Mississippi,1272835
796,1998,Mississippi,1276022
797,1999,Mississippi,1283790
798,2000,Mississippi,1309882
799,2001,Mississippi,1294733
800,2002,Mississippi,1290793
801,2003,Mississippi,1304578
802,2004,Mississippi,1314982
803,2005,Mississippi,1317407
804,2006,Mississippi,1280618
805,2007,Mississippi,1293338
806,2008,Mississippi,1293375
807,2009,Mississippi,1268505
808,2010,Mississippi,1309128
809,2011,Mississippi,1345990
810,2012,Mississippi,1330450
811,2013,Mississippi,1273057
812,2014,Mississippi,1243934
813,2015,Mississippi,1260015
814,2016,Mississippi,1271836
815,2017,Mississippi,1273981
816,2018,Mississippi,1270141
817,1985,Missouri,2438500
818,1986,Missouri,2505407
819,1987,Missouri,2555877
820,1988,Missouri,2590805
821,1989,Missouri,2627403
822,1990,Missouri,2607053
823,1991,Missouri,2633463
824,1992,Missouri,2642439
825,1993,Missouri,2686624
826,1994,Missouri,2740827
827,1995,Missouri,2839875
828,1996,Missouri,2893926
829,1997,Missouri,2930806
830,1998,Missouri,2946188
831,1999,Missouri,2946949
832,2000,Missouri,2971441
833,2001,Missouri,2987905
834,2002,Missouri,2981097
835,2003,Missouri,2983337
836,2004,Missouri,2995924
837,2005,Missouri,3011096
838,2006,Missouri,3036656
839,2007,Missouri,3058119
840,2008,Missouri,3065251
841,2009,Missouri,3061704
842,2010,Missouri,3043249
843,2011,Missouri,3032960
844,2012,Missouri,3004347
845,2013,Missouri,3011198
846,2014,Missouri,3035599
847,2015,Missouri,3057859
848,2016,Missouri,3072904
849,2017,Missouri,3057460
850,2018,Missouri,3051194
851,1985,Montana, 404295
852,1986,Montana, 404265
853,1987,Montana, 401673
854,1988,Montana, 404099
855,1989,Montana, 407558
856,1990,Montana, 403218
857,1991,Montana, 402936
858,1992,Montana, 418949
859,1993,Montana, 425395
860,1994,Montana, 436413
861,1995,Montana, 442644
862,1996,Montana, 448281
863,1997,Montana, 452792
864,1998,Montana, 462541
865,1999,Montana, 466936
866,2000,Montana, 470103
867,2001,Montana, 465270
868,2002,Montana, 466339
869,2003,Montana, 470433
870,2004,Montana, 478149
871,2005,Montana, 485496
872,2006,Montana, 495219
873,2007,Montana, 505112
874,2008,Montana, 512174
875,2009,Montana, 502813
876,2010,Montana, 500857
877,2011,Montana, 501027
878,2012,Montana, 506625
879,2013,Montana, 511164
880,2014,Montana, 512845
881,2015,Montana, 517782
882,2016,Montana, 521801
883,2017,Montana, 525393
884,2018,Montana, 529725
885,1985,Nebraska, 804954
886,1986,Nebraska, 813639
887,1987,Nebraska, 812799
888,1988,Nebraska, 816404
889,1989,Nebraska, 815765
890,1990,Nebraska, 824443
891,1991,Nebraska, 838757
892,1992,Nebraska, 848438
893,1993,Nebraska, 863879
894,1994,Nebraska, 885123
895,1995,Nebraska, 901405
896,1996,Nebraska, 914511
897,1997,Nebraska, 919274
898,1998,Nebraska, 926390
899,1999,Nebraska, 930022
900,2000,Nebraska, 938849
901,2001,Nebraska, 945374
902,2002,Nebraska, 952937
903,2003,Nebraska, 967038
904,2004,Nebraska, 973636
905,2005,Nebraska, 972759
906,2006,Nebraska, 971430
907,2007,Nebraska, 979043
908,2008,Nebraska, 987537
909,2009,Nebraska, 987855
910,2010,Nebraska, 992010
911,2011,Nebraska, 1003635
912,2012,Nebraska, 1012807
913,2013,Nebraska, 1014830
914,2014,Nebraska, 1012727
915,2015,Nebraska, 1011666
916,2016,Nebraska, 1016062
917,2017,Nebraska, 1016584
918,2018,Nebraska, 1027012
919,1985,Nevada, 516723
920,1986,Nevada, 532673
921,1987,Nevada, 556425
922,1988,Nevada, 580041
923,1989,Nevada, 603057
924,1990,Nevada, 666660
925,1991,Nevada, 700244
926,1992,Nevada, 728804
927,1993,Nevada, 767479
928,1994,Nevada, 811686
929,1995,Nevada, 848459
930,1996,Nevada, 894549
931,1997,Nevada, 946126
932,1998,Nevada, 978179
933,1999,Nevada, 1023749
934,2000,Nevada, 1070842
935,2001,Nevada, 1113234
936,2002,Nevada, 1134187
937,2003,Nevada, 1150288
938,2004,Nevada, 1178490
939,2005,Nevada, 1228415
940,2006,Nevada, 1291540
941,2007,Nevada, 1344378
942,2008,Nevada, 1373089
943,2009,Nevada, 1367831
944,2010,Nevada, 1358413
945,2011,Nevada, 1360624
946,2012,Nevada, 1366620
947,2013,Nevada, 1370940
948,2014,Nevada, 1380092
949,2015,Nevada, 1396826
950,2016,Nevada, 1414406
951,2017,Nevada, 1453013
952,2018,Nevada, 1505648
953,1985,New Hampshire, 539175
954,1986,New Hampshire, 559614
955,1987,New Hampshire, 580488
956,1988,New Hampshire, 593601
957,1989,New Hampshire, 607345
958,1990,New Hampshire, 622736
959,1991,New Hampshire, 619860
960,1992,New Hampshire, 618087
961,1993,New Hampshire, 620533
962,1994,New Hampshire, 625801
963,1995,New Hampshire, 632445
964,1996,New Hampshire, 636306
965,1997,New Hampshire, 652767
966,1998,New Hampshire, 661926
967,1999,New Hampshire, 675588
968,2000,New Hampshire, 685929
969,2001,New Hampshire, 691843
970,2002,New Hampshire, 700545
971,2003,New Hampshire, 708855
972,2004,New Hampshire, 715439
973,2005,New Hampshire, 726007
974,2006,New Hampshire, 732449
975,2007,New Hampshire, 738037
976,2008,New Hampshire, 742982
977,2009,New Hampshire, 739833
978,2010,New Hampshire, 739305
979,2011,New Hampshire, 736690 
980,2012,New Hampshire, 740956
981,2013,New Hampshire, 743243
982,2014,New Hampshire, 743873
983,2015,New Hampshire, 746323
984,2016,New Hampshire, 752466
985,2017,New Hampshire, 755046
986,2018,New Hampshire, 764470
987,1985,New Jersey, 3832148
988,1986,New Jersey, 3898561
989,1987,New Jersey, 3953962
990,1988,New Jersey, 3971901
