,years,state,,
682,1986,Massachusetts,30339,30.3
683,1987,Massachusetts,32241,32.2
684,1988,Massachusetts,33213,33.2
685,1989,Massachusetts,36086,36.1
686,1990,Massachusetts,36247,36.2
687,1991,Massachusetts,35714,35.7
688,1992,Massachusetts,36359,36.4
689,1993,Massachusetts,37064,37.1
690,1994,Massachusetts,40500,40.5
691,1995,Massachusetts,38574,38.6
692,1996,Massachusetts,39494,39.5
693,1997,Massachusetts,42023,42
694,1998,Massachusetts,42345,42.3
695,1999,Massachusetts,44005,44
696,2000,Massachusetts,46753,46.8
697,2001,Massachusetts,52253,52.3
698,2002,Massachusetts,49855,49.9
699,2003,Massachusetts,50955,51
700,2004,Massachusetts,52019,52
701,2005,Massachusetts,56017,56
702,2006,Massachusetts,55330,55.3
703,2007,Massachusetts,58463,58.5
704,2008,Massachusetts,60320,60.3
705,2009,Massachusetts,59373,59.4
706,2010,Massachusetts,60934,60.9
707,2011,Massachusetts,63313,63.3
708,2012,Massachusetts,63656,63.7
709,2013,Massachusetts,62529,62.5
710,2014,Massachusetts,63151,63.2
711,2015,Massachusetts,67861,67.9
712,2016,Massachusetts,72266,72.3
713,2017,Massachusetts,76243,76.2
714,2018,Massachusetts,86345,86.3
715,1985,Michigan,24242,24.2
716,1986,Michigan,26605,26.6
717,1987,Michigan,27702,27.7
718,1988,Michigan,29472,29.5
719,1989,Michigan,30775,30.8
720,1990,Michigan,29937,29.9
721,1991,Michigan,32117,32.1
722,1992,Michigan,32267,32.3
723,1993,Michigan,32662,32.7
724,1994,Michigan,35284,35.3
725,1995,Michigan,36426,36.4
726,1996,Michigan,39225,39.2
727,1997,Michigan,38742,38.7
728,1998,Michigan,41821,41.8
729,1999,Michigan,46089,46.1
730,2000,Michigan,45512,45.5
731,2001,Michigan,45047,45
732,2002,Michigan,42715,42.7
733,2003,Michigan,45022,45
734,2004,Michigan,42256,42.3
735,2005,Michigan,45933,45.9
736,2006,Michigan,48647,48.6
737,2007,Michigan,49370,49.4
738,2008,Michigan,49788,49.8
739,2009,Michigan,45994,46
740,2010,Michigan,46276,46.3
741,2011,Michigan,48879,48.9
742,2012,Michigan,50015,50
743,2013,Michigan,56567,56.6
744,2014,Michigan,52005,52
745,2015,Michigan,54203,54.2
746,2016,Michigan,57091,57.1
747,2017,Michigan,56405,56.4
748,2018,Michigan,60449,60.4
749,1985,Minnesota,23856,23.9
750,1986,Minnesota,26443,26.4
